senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,gender_female,internet_service_dsl,internet_service_fiber_optic,internet_service_no,contract_month-to-month,contract_one_year,contract_two_year,payment_method_bank_transfer_(automatic),payment_method_credit_card_(automatic),payment_method_electronic_check,payment_method_mailed_check,service_count,charge_per_service,has_streaming,has_long_contract,is_auto_payment,fiber_month_to_month,echeck_month_to_month,fiber_no_protection,charge_to_tenure,total_to_monthly_ratio,tenure_bin
0,1,1,52,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.05,1255.1,1,0,0,1,0,0,1,0,0,0,1,1.0,11.525,0,1,0,0,0,0.0,0.4349056603773585,52.18711018711018,2
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,56.25,56.25,1,1,0,0,1,0,0,0,0,1,0,1.0,28.125,1,0,0,0,1,0.0,28.125,0.982532751091703,0
0,0,0,57,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,94.7,5468.95,1,0,1,0,0,1,0,0,0,1,0,4.0,18.94,1,1,0,0,0,0.0,1.6327586206896552,57.14681295715778,2
0,1,0,72,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,54.2,3937.45,1,1,0,0,0,0,1,0,0,1,0,4.0,10.84,1,1,0,0,0,0.0,0.7424657534246576,71.33061594202898,3
0,0,0,42,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,103.8,4327.5,1,0,1,0,1,0,0,1,0,0,0,5.0,17.3,1,0,1,1,0,0.0,2.413953488372093,41.29293893129771,2
0,1,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.8,272.95,1,0,0,1,1,0,0,0,0,0,1,0.0,19.8,0,0,0,0,0,0.0,1.2375,13.122596153846153,1
0,1,1,64,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,81.05,5135.35,0,0,1,0,1,0,0,0,0,1,0,2.0,27.016666666666666,0,0,0,1,1,0.0,1.2469230769230768,62.588056063375994,3
1,1,1,47,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,84.95,4018.05,0,0,1,0,0,1,0,1,0,0,0,2.0,28.316666666666666,1,1,1,0,0,1.0,1.7697916666666667,46.74869109947644,2
0,1,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,29.05,44.75,1,1,0,0,1,0,0,1,0,0,0,1.0,14.525,0,0,1,0,0,0.0,9.683333333333334,1.4891846921797005,0
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.2,20.2,0,0,0,1,1,0,0,0,0,0,1,0.0,20.2,0,0,0,0,0,0.0,10.1,0.9528301886792453,0
0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,50.7,50.7,0,1,0,0,1,0,0,0,0,0,1,1.0,25.35,0,0,0,0,0,0.0,25.35,0.9806576402321083,0
0,1,1,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,113.1,8248.5,1,0,1,0,0,0,1,1,0,0,0,7.0,14.1375,1,1,1,0,0,0.0,1.5493150684931507,72.29184925503944,3
0,1,1,32,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,89.6,2901.8,1,0,1,0,1,0,0,0,0,1,0,3.0,22.4,1,0,0,1,1,0.0,2.715151515151515,32.02869757174393,1
1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74.45,74.45,1,0,1,0,1,0,0,0,0,1,0,1.0,37.225,0,0,0,1,1,1.0,37.225,0.9867461895294898,0
0,1,0,71,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,47.6,3377.8,1,1,0,0,0,0,1,1,0,0,0,4.0,9.52,0,1,1,0,0,0.0,0.6611111111111111,69.50205761316873,3
0,1,1,15,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,75.1,1151.55,0,0,1,0,1,0,0,0,0,0,1,1.0,37.55,0,0,0,1,0,0.0,4.69375,15.132063074901446,1
0,1,0,47,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,95.2,4563.0,0,0,1,0,0,1,0,0,1,0,0,3.0,23.8,1,1,1,0,0,1.0,1.9833333333333334,47.43243243243243,2
0,1,1,34,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,97.7,3410.0,0,0,1,0,1,0,0,1,0,0,0,4.0,19.54,1,0,1,1,0,1.0,2.7914285714285714,34.549138804457954,1
0,1,1,50,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,103.85,5017.9,0,0,1,0,1,0,0,1,0,0,0,5.0,17.308333333333334,1,0,1,1,0,1.0,2.0362745098039214,47.85789222699094,2
0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,198.7,0,0,0,1,1,0,0,0,1,0,0,0.0,20.0,0,0,1,0,0,0.0,1.8181818181818181,9.461904761904762,0
1,0,0,8,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,92.1,729.95,1,0,1,0,1,0,0,0,0,1,0,3.0,23.025,1,0,0,1,1,1.0,10.233333333333333,7.840494092373793,0
0,1,1,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.65,436.9,0,0,0,1,0,1,0,0,0,0,1,0.0,19.65,0,1,0,0,0,0.0,0.81875,21.15738498789346,1
0,0,0,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,74.9,490.55,0,0,1,0,1,0,0,0,0,1,0,1.0,37.45,0,0,0,1,1,1.0,9.3625,6.463109354413702,0
0,1,0,23,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,84.25,1968.1,0,0,1,0,1,0,0,0,0,1,0,3.0,21.0625,0,0,0,1,1,1.0,3.5104166666666665,23.086217008797654,1
0,1,1,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,90.95,6652.45,1,1,0,0,0,0,1,0,1,0,0,7.0,11.36875,1,1,1,0,0,0.0,1.2458904109589042,72.34855899945622,3
0,0,0,30,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,85.15,2555.9,1,0,1,0,1,0,0,0,0,1,0,2.0,28.383333333333336,1,0,0,1,1,0.0,2.7467741935483874,29.6680208937899,1
1,1,0,31,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,50.4,1580.1,1,1,0,0,0,1,0,0,1,0,0,4.0,10.08,1,1,1,0,0,0.0,1.575,30.74124513618677,1
0,0,0,3,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,107.95,313.6,0,0,1,0,1,0,0,0,0,0,1,5.0,17.991666666666667,1,0,0,1,0,1.0,26.9875,2.878384580082607,0
1,0,0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.3,459.95,1,0,0,1,1,0,0,0,0,0,1,0.0,20.3,0,0,0,0,0,0.0,0.812,21.593896713615024,1
0,0,0,62,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,74.3,4698.05,0,1,0,0,0,1,0,0,1,0,0,4.0,14.86,1,1,1,0,0,0.0,1.1793650793650794,62.39110225763613,3
0,1,1,37,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,40.2,1448.8,0,1,0,0,1,0,0,1,0,0,0,3.0,10.05,0,0,1,0,0,0.0,1.0578947368421054,35.165048543689316,2
0,0,0,62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.2,1123.65,1,0,0,1,0,0,1,0,1,0,0,0.0,19.2,0,1,1,0,0,0.0,0.30476190476190473,55.626237623762385,3
0,0,0,11,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,73.5,791.75,0,0,1,0,1,0,0,0,0,1,0,1.0,36.75,0,0,0,1,1,0.0,6.125,10.62751677852349,0
0,0,0,10,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,36.25,374.0,1,1,0,0,1,0,0,0,0,1,0,2.0,12.083333333333334,0,0,0,0,1,0.0,3.2954545454545454,10.04026845637584,0
0,0,0,37,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,101.9,3545.35,1,0,1,0,1,0,0,1,0,0,0,5.0,16.983333333333334,1,0,1,1,0,1.0,2.681578947368421,34.45432458697765,2
1,0,0,72,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.1,1789.9,0,0,0,1,0,0,1,0,1,0,0,1.0,12.55,0,1,1,0,0,0.0,0.3438356164383562,68.57854406130268,3
0,0,0,19,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,84.75,1651.95,0,0,1,0,1,0,0,0,0,1,0,3.0,21.1875,0,0,0,1,1,0.0,4.2375,19.26472303206997,1
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.6,19.6,1,0,0,1,1,0,0,0,0,0,1,0.0,19.6,0,0,0,0,0,0.0,9.8,0.9514563106796117,0
0,1,0,23,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,73.65,1642.75,1,1,0,0,1,0,0,0,1,0,0,4.0,14.73,1,0,1,0,0,0.0,3.06875,22.0060281312793,1
1,1,0,43,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,109.55,4830.25,1,0,1,0,0,1,0,0,0,0,1,6.0,15.65,1,1,0,0,0,0.0,2.4897727272727272,43.69289914066034,2
0,0,0,46,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,94.9,4422.95,0,0,1,0,0,1,0,0,1,0,0,4.0,18.98,1,1,1,0,0,1.0,2.019148936170213,46.12043795620438,2
0,0,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.4,184.1,0,0,0,1,1,0,0,0,0,0,1,0.0,20.4,0,0,0,0,0,0.0,2.04,8.602803738317757,0
0,1,1,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.7,494.05,1,0,0,1,0,0,1,0,0,0,1,0.0,19.7,0,1,0,0,0,0.0,0.7879999999999999,23.867149758454108,1
1,0,0,8,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,100.15,908.55,1,0,1,0,1,0,0,0,1,0,0,4.0,20.03,1,0,1,1,0,0.0,11.127777777777778,8.982204646564508,0
0,1,1,10,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,85.95,858.6,1,0,1,0,1,0,0,0,0,1,0,2.0,28.650000000000002,1,0,0,1,1,1.0,7.8136363636363635,9.874640598044854,0
0,1,1,71,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,70.85,4973.4,0,1,0,0,0,0,1,0,1,0,0,4.0,14.169999999999998,1,1,1,0,0,0.0,0.9840277777777777,69.21920668058455,3
0,1,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,30.5,167.2,1,1,0,0,1,0,0,0,0,1,0,1.0,15.25,0,0,0,0,1,0.0,5.083333333333333,5.307936507936508,0
1,1,0,41,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,83.75,3273.55,0,0,1,0,1,0,0,1,0,0,0,3.0,20.9375,0,0,1,1,0,0.0,1.994047619047619,38.6259587020649,2
0,1,1,58,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,71.6,4230.25,0,1,0,0,0,0,1,0,1,0,0,5.0,11.933333333333332,0,1,1,0,0,0.0,1.2135593220338983,58.26790633608816,2
0,0,0,3,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,69.95,220.45,1,1,0,0,0,1,0,0,0,1,0,3.0,17.4875,1,1,0,0,0,0.0,17.4875,3.107117688513037,0
0,1,1,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.4,1284.2,0,0,0,1,0,0,1,0,1,0,0,0.0,19.4,0,1,1,0,0,0.0,0.2852941176470588,62.95098039215687,3
0,0,0,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,30.85,394.1,1,1,0,0,1,0,0,1,0,0,0,1.0,15.425,0,0,1,0,0,0.0,2.2035714285714287,12.373626373626374,1
0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.2,20.2,0,0,0,1,0,1,0,0,0,1,0,0.0,20.2,0,1,0,0,0,0.0,10.1,0.9528301886792453,0
0,1,1,71,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,100.2,7209.0,0,0,1,0,0,0,1,0,1,0,0,5.0,16.7,1,1,1,0,0,0.0,1.3916666666666666,71.23517786561264,3
0,0,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,54.75,438.05,0,1,0,0,1,0,0,0,1,0,0,1.0,27.375,1,0,1,0,0,0.0,6.083333333333333,7.857399103139014,0
0,0,0,28,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,91.25,2483.65,0,0,1,0,0,1,0,1,0,0,0,3.0,22.8125,1,1,1,0,0,0.0,3.146551724137931,26.923035230352305,1
0,1,0,71,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.85,1672.1,1,0,0,1,0,0,1,0,0,0,1,1.0,11.925,0,1,0,0,0,0.0,0.33125000000000004,67.28772635814889,3
0,0,0,67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,118.35,7804.15,0,0,1,0,0,1,0,1,0,0,0,7.0,14.79375,1,1,1,0,0,0.0,1.740441176470588,65.38877251780478,3
0,1,1,63,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,89.4,5597.65,0,1,0,0,0,0,1,0,1,0,0,7.0,11.175,1,1,1,0,0,0.0,1.396875,61.92090707964601,3
0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,80.6,415.55,0,0,1,0,1,0,0,0,0,1,0,1.0,40.3,1,0,0,1,1,1.0,13.433333333333332,5.092524509803922,0
0,0,0,37,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,78.9,2976.95,1,1,0,0,1,0,0,0,1,0,0,6.0,11.271428571428572,1,0,1,0,0,0.0,2.0763157894736843,37.25844806007509,2
0,1,0,53,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,111.8,5809.75,1,0,1,0,0,1,0,1,0,0,0,6.0,15.971428571428572,1,1,1,0,0,0.0,2.0703703703703704,51.50487588652482,2
0,0,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44.55,480.6,1,1,0,0,1,0,0,0,0,1,0,0.0,44.55,0,0,0,0,1,0.0,3.4269230769230767,10.551042810098794,0
0,0,0,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.7,1341.5,1,0,0,1,0,1,0,1,0,0,0,0.0,19.7,0,1,1,0,0,0.0,0.27746478873239433,64.80676328502416,3
0,0,0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74.4,229.55,0,0,1,0,1,0,0,0,0,1,0,1.0,37.2,0,0,0,1,1,1.0,18.6,3.0444297082228116,0
0,1,0,14,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,82.65,1185.0,0,0,1,0,1,0,0,0,0,1,0,3.0,20.6625,0,0,0,1,1,1.0,5.510000000000001,14.166168559473999,1
0,0,0,61,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,43.7,2696.55,1,1,0,0,0,1,0,0,1,0,0,4.0,8.74,0,1,1,0,0,0.0,0.7048387096774194,60.3255033557047,3
0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,88.45,370.65,0,0,1,0,1,0,0,0,0,1,0,2.0,29.483333333333334,1,0,0,1,1,1.0,17.69,4.143655673560648,0
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,90.6,90.6,1,0,1,0,1,0,0,0,0,1,0,2.0,30.2,1,0,0,1,1,1.0,45.3,0.9890829694323144,0
1,0,0,10,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29.65,291.4,1,1,0,0,1,0,0,0,0,1,0,1.0,14.825,0,0,0,0,1,0.0,2.6954545454545453,9.507340946166394,0
0,0,1,23,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,55.3,1284.2,0,1,0,0,1,0,0,1,0,0,0,2.0,18.433333333333334,0,0,1,0,0,0.0,2.3041666666666667,22.809946714031973,1
0,0,1,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.6,581.85,0,0,0,1,0,0,1,0,0,0,1,0.0,20.6,0,1,0,0,0,0.0,0.7357142857142858,26.9375,1
1,1,0,72,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,78.45,5682.25,1,1,0,0,0,0,1,1,0,0,0,6.0,11.207142857142857,1,1,1,0,0,0.0,1.0746575342465754,71.51982378854625,3
0,1,1,66,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,50.55,3364.55,0,1,0,0,0,0,1,1,0,0,0,3.0,12.6375,1,1,1,0,0,0.0,0.7544776119402985,65.26770126091175,3
0,1,1,35,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,109.95,3782.4,0,0,1,0,1,0,0,0,0,1,0,6.0,15.707142857142857,1,0,0,1,1,0.0,3.0541666666666667,34.091031996394776,1
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.3,45.3,1,1,0,0,1,0,0,0,0,0,1,0.0,45.3,0,0,0,0,0,0.0,22.65,0.978401727861771,0
1,0,0,12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73.3,828.05,0,0,1,0,1,0,0,0,1,0,0,1.0,36.65,0,0,1,1,0,1.0,5.638461538461538,11.144683714670256,0
0,0,0,26,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,44.65,1156.55,0,1,0,0,1,0,0,1,0,0,0,3.0,11.1625,1,0,1,0,0,0.0,1.6537037037037037,25.335158817086526,1
0,0,0,18,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,35.2,607.3,1,1,0,0,1,0,0,0,0,1,0,2.0,11.733333333333334,0,0,0,0,1,0.0,1.8526315789473686,16.77624309392265,1
0,1,0,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,29.8,94.4,0,1,0,0,1,0,0,0,1,0,0,1.0,14.9,0,0,1,0,0,0.0,7.45,3.064935064935065,0
0,0,0,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.55,1343.4,1,0,0,1,0,1,0,0,0,1,0,0.0,20.55,0,1,0,0,0,0.0,0.3022058823529412,62.338747099767986,3
0,1,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.3,224.5,1,0,0,1,0,0,1,1,0,0,0,0.0,20.3,0,1,1,0,0,0.0,1.5615384615384615,10.539906103286384,0
1,1,0,32,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,85.95,2628.6,1,0,1,0,1,0,0,0,1,0,0,2.0,28.650000000000002,1,0,1,1,0,1.0,2.6045454545454545,30.231167337550314,1
1,0,0,9,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,85.05,746.5,0,0,1,0,1,0,0,0,0,1,0,2.0,28.349999999999998,1,0,0,1,1,1.0,8.504999999999999,8.675188843695526,0
1,1,1,52,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,80.85,4079.55,0,1,0,0,0,1,0,0,0,1,0,5.0,13.475,1,1,0,0,0,0.0,1.5254716981132075,49.8417837507636,2
0,0,0,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.05,337.9,1,0,0,1,0,1,0,0,1,0,0,0.0,20.05,0,1,1,0,0,0.0,1.113888888888889,16.052256532066508,1
1,0,0,70,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,45.25,3264.45,0,1,0,0,0,1,0,0,0,1,0,2.0,15.083333333333334,1,1,0,0,0,0.0,0.6373239436619719,70.5827027027027,3
0,0,1,14,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,86.0,1164.05,1,0,1,0,1,0,0,0,0,0,1,3.0,21.5,0,0,0,1,0,0.0,5.733333333333333,13.379885057471263,1
0,1,1,18,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,61.5,1087.45,1,1,0,0,0,1,0,0,0,0,1,3.0,15.375,0,1,0,0,0,0.0,3.236842105263158,17.3992,1
0,0,0,46,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,60.75,2893.4,0,1,0,0,0,0,1,1,0,0,0,5.0,10.125,1,1,1,0,0,0.0,1.2925531914893618,46.85668016194332,2
1,1,0,13,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,98.0,1237.85,0,0,1,0,1,0,0,0,0,1,0,4.0,19.6,1,0,0,1,1,1.0,7.0,12.503535353535353,1
0,0,0,19,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,78.7,1495.1,0,0,1,0,1,0,0,1,0,0,0,1.0,39.35,1,0,1,1,0,1.0,3.935,18.75909661229611,1
0,0,0,3,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,71.1,213.35,1,1,0,0,0,0,1,0,0,0,1,4.0,14.219999999999999,1,1,0,0,0,0.0,17.775,2.959084604715673,0
0,1,1,62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.65,1218.45,0,0,0,1,0,0,1,0,1,0,0,0.0,20.65,0,1,1,0,0,0.0,0.3277777777777778,56.27944572748269,3
1,0,0,38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.2,735.9,1,0,0,1,0,0,1,0,0,0,1,0.0,20.2,0,1,0,0,0,0.0,0.5179487179487179,34.7122641509434,2
0,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.25,112.3,0,0,0,1,1,0,0,0,0,1,0,0.0,19.25,0,0,0,0,1,0.0,2.40625,5.545679012345679,0
0,0,0,46,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,55.65,2688.85,1,1,0,0,0,1,0,0,1,0,0,1.0,27.825,1,1,1,0,0,0.0,1.1840425531914893,47.464254192409534,2
0,0,1,12,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,78.3,909.25,1,0,1,0,1,0,0,0,0,1,0,2.0,26.099999999999998,0,0,0,1,1,0.0,6.023076923076923,11.46595208070618,0
0,1,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.6,189.45,0,0,0,1,0,1,0,1,0,0,0,0.0,19.6,0,1,1,0,0,0.0,1.781818181818182,9.196601941747572,0
0,0,0,9,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,73.8,704.3,0,0,1,0,1,0,0,0,0,1,0,1.0,36.9,0,0,0,1,1,1.0,7.38,9.415775401069519,0
0,0,0,24,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,51.15,1275.7,0,1,0,0,1,0,0,0,0,1,0,1.0,25.575,0,0,0,0,1,0.0,2.046,24.462128475551296,1
0,1,0,4,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,91.65,365.4,1,0,1,0,1,0,0,0,0,1,0,3.0,22.9125,1,0,0,1,1,1.0,18.330000000000002,3.9438747976254716,0
0,0,0,46,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,84.25,3847.6,1,0,1,0,1,0,0,0,0,0,1,3.0,21.0625,0,0,0,1,0,0.0,1.7925531914893618,45.13313782991202,2
